__run_id,__done,generation,model_size,task,energy
run_28_repetition_24,DONE,3.2,3B,WiC,6012.8465576171875
run_18_repetition_23,DONE,3.2,1B,BoolQ,3425.4913330078125
run_26_repetition_25,DONE,3.2,3B,COPA,5684.47412109375
run_8_repetition_16,DONE,3,8B,COPA,11044.586730957031
run_21_repetition_7,DONE,3.2,1B,RTE,2617.6315307617188
run_3_repetition_15,DONE,2,7B,RTE,10770.78466796875
run_15_repetition_22,DONE,3.1,8B,RTE,9108.462219238281
run_18_repetition_3,DONE,3.2,1B,BoolQ,3501.6451416015625
run_12_repetition_19,DONE,3.1,8B,BoolQ,8059.571533203125
run_25_repetition_29,DONE,3.2,3B,CB,6593.2537841796875
run_7_repetition_25,DONE,3,8B,CB,12477.315002441406
run_3_repetition_4,DONE,2,7B,RTE,10904.105834960938
run_13_repetition_0,DONE,3.1,8B,CB,9256.929809570312
run_16_repetition_5,DONE,3.1,8B,WiC,13790.91015625
run_11_repetition_28,DONE,3,8B,WSC,7528.442199707031
run_23_repetition_24,DONE,3.2,1B,WSC,2111.65234375
run_24_repetition_21,DONE,3.2,3B,BoolQ,5353.875549316406
run_11_repetition_12,DONE,3,8B,WSC,7420.015625
run_8_repetition_3,DONE,3,8B,COPA,11516.646179199219
run_0_repetition_3,DONE,2,7B,BoolQ,12188.255981445312
run_8_repetition_6,DONE,3,8B,COPA,11462.399353027344
run_11_repetition_6,DONE,3,8B,WSC,7526.593444824219
run_4_repetition_0,DONE,2,7B,WiC,250562.1844482422
run_9_repetition_11,DONE,3,8B,RTE,11543.977294921875
run_19_repetition_18,DONE,3.2,1B,CB,3700.121337890625
run_20_repetition_24,DONE,3.2,1B,COPA,3158.846435546875
run_23_repetition_21,DONE,3.2,1B,WSC,2050.9255981445312
run_14_repetition_13,DONE,3.1,8B,COPA,12040.000183105469
run_25_repetition_17,DONE,3.2,3B,CB,6786.7286376953125
run_10_repetition_16,DONE,3,8B,WiC,14075.506469726562
run_7_repetition_21,DONE,3,8B,CB,12784.436950683594
run_21_repetition_6,DONE,3.2,1B,RTE,2715.2490844726562
run_19_repetition_7,DONE,3.2,1B,CB,3733.9927368164062
run_0_repetition_26,DONE,2,7B,BoolQ,12003.750549316406
run_1_repetition_6,DONE,2,7B,CB,12030.818481445312
run_26_repetition_3,DONE,3.2,3B,COPA,5879.845275878906
run_13_repetition_23,DONE,3.1,8B,CB,9402.530883789062
